enrollment_id,participant_id,program_id,enrolled_date,completion_status,attendance_pct
5001,1026,101,2024-05-05,withdrawn,76
5002,1013,109,2024-11-30,Completed,67
5003,1007,112,2025-08-08,completed,
5004,1024,113,2023-11-23,COMPLETED,95
5005,1013,108,2025-04-26,Dropped,70
5006,1031,103,2025-07-05,completed,58
5007,1006,108,2025-11-15,in_progress,31
5008,1021,113,2024-11-23,withdrawn,69
5009,1012,104,2024-05-30,completed,64
5010,1013,107,2024-07-05,Completed,36
5011,1014,112,2024-12-27,dropped,84
5012,1031,104,2024-08-07,dropped,34
5013,1009,108,2025-05-13,dropped,53
5014,1005,107,2025-02-06,COMPLETED,30
5015,1031,114,2025-07-06,Completed,79
5016,1015,107,2024-11-17,Completed,90
5017,1013,113,2024-08-01,withdrawn,76
5018,1022,104,2024-08-14,dropped,15
5019,1027,105,2025-02-12,Dropped,53
5020,1022,105,2025-11-19,completed,61
5021,1005,113,2024-09-19,Completed,16
5022,1019,113,2023-11-28,In Progress,75
5023,1007,105,2025-11-13,Dropped,
5024,1002,102,2024-07-01,Dropped,20
5025,1014,114,2025-10-25,completed,77
5026,1026,104,2024-06-19,Dropped,89
5027,1008,104,2024-10-16,COMPLETED,52
5028,1002,111,2024-12-10,completed,90
5029,1099,109,2024-07-21,completed,62
5030,1008,109,2024-08-23,In Progress,52
5031,1010,110,2025-08-27,completed,90
5032,1013,101,2024-12-18,Dropped,61
5033,1015,103,2025-10-23,completed,52
5034,1007,104,2024-08-19,dropped,22
5035,1008,102,2025-05-19,In Progress,40
5036,1099,103,2025-08-01,dropped,97
5037,1026,105,2025-03-18,dropped,37
5038,1002,104,2024-12-09,Dropped,67
5039,1031,107,2025-09-20,completed,37
5040,1018,110,2025-07-06,dropped,49
5041,1012,103,2025-09-25,completed,84
5042,1008,105,2025-11-22,Completed,42
5043,1008,108,2025-08-18,withdrawn,41
5044,1022,111,2025-09-04,In Progress,53
5045,1016,102,2025-07-23,in_progress,
5046,1016,103,2025-09-02,dropped,33
5047,1014,105,2025-01-14,Dropped,97
5048,1021,110,2025-11-09,Dropped,74
5049,1006,110,2025-10-11,withdrawn,55
5050,1025,104,2024-10-19,In Progress,69
5051,1026,114,2025-10-31,COMPLETED,20
5052,1018,102,2025-07-07,Dropped,28
5053,1002,101,2024-12-05,withdrawn,74
5054,1005,101,2024-09-03,completed,81
5055,1016,112,2025-07-25,withdrawn,76
5056,1004,999,2025-05-14,in_progress,72
5011,1014,112,2024-12-27,dropped,84
5057,1010,107,2025-06-02,completed,180
