log_id,volunteer_id,program_id,log_date,hours,activity_type
3001,701,107,2025-09-05,2,session_delivery
3002,708,105,2025-05-06,4,Session Delivery
3003,703,101,2024-10-05,1.5,transport
3004,713,101,2024-03-07,8,transport
3005,702,112,2025-03-19,1.5,admin
3006,704,104,2024-12-08,6,admin
3007,714,112,2025-11-11,2.25,session_delivery
3008,708,108,2025-08-23,2,Outreach
3009,712,105,2025-09-18,5,Session Delivery
3010,708,109,2024-09-26,8,Session Delivery
3011,702,102,2024-12-06,2.25,Outreach
3012,707,105,2025-08-30,8,Session Delivery
3013,712,106,2023-10-25,2,prep
3014,702,111,2025-03-22,4,transport
3015,710,107,2024-10-12,4,outreach
3016,713,104,2024-06-10,6,Outreach
3017,703,105,2025-05-18,3.5,session_delivery
3018,709,106,2023-12-17,5,admin
3019,705,106,2023-09-21,4,admin
3020,712,104,2024-04-17,4,session_delivery
3021,704,109,2024-10-26,6,admin
3022,705,107,2025-11-26,5,session_delivery
3023,704,105,2025-04-09,3.5,Session Delivery
3024,712,112,2025-06-10,4,Outreach
3025,704,102,2024-09-03,6,prep
3026,701,111,2024-12-10,4,outreach
3027,705,112,2024-10-31,5,Outreach
3028,710,109,2024-09-11,1.5,Outreach
3029,701,110,2025-04-19,4,admin
3030,710,106,2023-11-19,3.5,Session Delivery
3031,714,111,2025-03-08,2.25,transport
3032,705,102,2025-04-07,8,session_delivery
3033,702,106,2024-04-18,5,Outreach
3034,703,106,2024-03-08,2.25,Outreach
3035,712,109,2024-08-11,2,transport
3036,711,108,2025-05-01,4,outreach
3037,710,103,2025-06-11,3.5,Outreach
3038,712,109,2024-10-10,2.25,outreach
3039,712,106,2024-06-15,8,session_delivery
3040,713,113,2024-06-04,2.25,Outreach
3006,704,104,2024-12-08,6,admin
3041,703,106,2025-01-09,36,session_delivery
